"Ngày giờ Sóc","Ngày giờ","Tiết khí"
"03/01 01:33","05/01 16:14","Tiểu hàn"
,"20/01 09:39","Đại hàn"
"01/02 12:46","04/02 03:50","Lập xuân"
,"18/02 23:43","Vũ Thủy"
"03/03 00:35","05/03 21:43","Kinh trập"
,"20/03 22:33","Xuân phân"
"01/04 13:24","05/04 02:20","Thanh minh"
,"20/04 09:24","Cốc vũ"
"01/05 03:28","05/05 19:26","Lập hạ"
,"21/05 08:22","Tiểu mãn"
"30/05 18:30","05/06 23:26","Mang chủng"
,"21/06 16:14","Hạ chí"
"29/06 09:52","07/07 09:38","Tiểu thử"
,"23/07 03:07","Đại thử"
"29/07 00:55","07/08 19:29","Lập thu"
,"23/08 10:16","Xử thử"
"27/08 15:17","07/09 22:32","Bạch lộ"
,"23/09 08:03","Thu phân"
"26/09 04:54","08/10 14:22","Hàn lộ"
,"23/10 17:35","Sương giáng"
"25/10 17:48","07/11 17:45","Lập đông"
,"22/11 15:20","Tiểu tuyết"
"24/11 05:57","07/12 10:46","Đại tuyết"
,"22/12 04:48","Đông chí"
"23/12 17:17",,
,"05/01 22:05","Tiểu hàn"
,"20/01 15:29","Đại hàn"
"22/01 03:53","04/02 09:42","Lập xuân"
,"19/02 05:34","Vũ Thủy"
"20/02 14:06","06/03 03:36","Kinh trập"
,"21/03 04:24","Xuân phân"
"22/03 00:23","05/04 08:13","Thanh minh"
,"20/04 15:13","Cốc vũ"
"20/04 11:12","06/05 01:18","Lập hạ"
"19/05 22:53","21/05 14:09","Tiểu mãn"
,"06/06 05:18","Mang chủng"
"18/06 11:37","21/06 21:58","Hạ chí"
,"07/07 15:30","Tiểu thử"
"18/07 01:32","23/07 08:50","Đại thử"
,"08/08 01:23","Lập thu"
"16/08 16:38","23/08 16:01","Xử thử"
,"08/09 04:26","Bạch lộ"
"15/09 08:40","23/09 13:50","Thu phân"
,"08/10 20:15","Hàn lộ"
"15/10 00:55","23/10 23:21","Sương giáng"
,"07/11 23:35","Lập đông"
"13/11 16:27","22/11 21:02","Tiểu tuyết"
,"07/12 16:33","Đại tuyết"
"13/12 06:32","22/12 10:27","Đông chí"
