"New moons datetime","Terms datetime","Principal terms",2023,"Lunar month"
,"05/01 22:05","Tiểu hàn",,
,"20/01 15:29","Đại hàn","Maj",
"22/01 03:53","04/02 09:42","Lập xuân",,"Mois 1"
,"19/02 05:34","Vũ Thủy","Maj",
"20/02 14:06","06/03 03:36","Kinh trập",,"Mois 2"
,"21/03 04:24","Xuân phân","Maj",
"22/03 00:23","05/04 08:13","Thanh minh",,"Mois 2 bis"
,"20/04 15:13","Cốc vũ","Maj",
"20/04 11:12","06/05 01:18","Lập hạ",,"Mois 3"
"19/05 22:53","21/05 14:09","Tiểu mãn","Maj","Mois 4"
,"06/06 05:18","Mang chủng",,
"18/06 11:37","21/06 21:58","Hạ chí","Maj","Mois 5"
,"07/07 15:30","Tiểu thử",,
"18/07 01:32","23/07 08:50","Đại thử","Maj","Mois 6"
,"08/08 01:23","Lập thu",,
"16/08 16:38","23/08 16:01","Xử thử","Maj","Mois 7"
,"08/09 04:26","Bạch lộ",,
"15/09 08:40","23/09 13:50","Thu phân","Maj","Mois 8"
,"08/10 20:15","Hàn lộ",,
"15/10 00:55","23/10 23:21","Sương giáng","Maj","Mois 9"
,"07/11 23:35","Lập đông",,
"13/11 16:27","22/11 21:02","Tiểu tuyết","Maj","Mois 10"
,"07/12 16:33","Đại tuyết",,
"13/12 06:32","22/12 10:27","Đông chí","Maj","Mois 11"
